#Edad NumeroCuarto Precio/Noche NumeroNoches
41 214 50000  4
55 110 290000 5
25 405 130000 2
27 319 240000 2
49 115 80000  4
28 110 240000 2
34 116 200000 3
10 117 130000 1
44 204 260000 4
16 101 90000  1
24 416 70000  2
50 308 110000 5
32 408 250000 3
39 316 50000  3
45 307 120000 4
14 102 220000 1
44 104 130000 4
31 111 190000 3
29 400 150000 2
56 311 180000 5
22 414 110000 2
14 111 290000 1
17 310 230000 1
32 410 190000 3
48 306 260000 4
44 212 160000 4
49 316 70000  4
44 116 270000 4
23 401 90000  2
13 318 150000 1
43 412 50000  4
36 407 100000 3
53 213 70000  5
12 413 180000 1
28 102 210000 2
54 205 90000  5
30 418 120000 3
31 314 140000 3
10 402 270000 1
36 209 80000  3
26 100 70000  2
30 305 200000 3
47 117 50000  4
54 312 240000 5
40 110 100000 4
55 401 70000  5
19 119 170000 1
13 317 170000 1
47 416 180000 4
42 309 90000  4
35 313 110000 3
38 112 120000 3
29 100 230000 2
9  203  1900009
39 405 260000 3
29 400 230000 2
47 110 130000 4
41 102 280000 4
35 111 130000 3
42 213 230000 4
11 312 150000 1
38 214 240000 3
19 407 270000 1
45 110 60000  4
24 304 290000 2
44 112 270000 4
12 414 120000 1
49 200 70000  4
38 115 170000 3
36 207 70000  3
31 414 160000 3
32 170 140000 3
26 216 100000 2
19 260 240000 1
29 417 100000 2
17 440 250000 1
27 410 260000 2
42 418 240000 4
51 270 290000 5
19 219 50000  1
27 240 110000 2
20 411 200000 2
35 280 200000 3
29 317 50000  2
31 460 80000  3
35 210 180000 3
16 308 220000 1
24 303 50000  2
15 418 110000 1
22 111 270000 2
33 105 90000  3
56 401 160000 5
41 116 180000 4
54 209 200000 5
21 207 240000 2
10 214 130000 1
31 116 250000 3
38 114 120000 3
43 104 50000  4
10 302 60000  1
