"","x"
"1",0.23
"2",0.21
"3",0.23
"4",0.29
"5",0.31
"6",0.24
"7",0.24
"8",0.26
"9",0.22
"10",0.23
"11",0.3
"12",0.23
"13",0.22
"14",0.31
"15",0.2
"16",0.32
"17",0.3
"18",0.3
"19",0.3
"20",0.3
"21",0.3
"22",0.23
"23",0.23
"24",0.31
"25",0.31
"26",0.23
"27",0.24
"28",0.3
"29",0.23
"30",0.23
"31",0.23
"32",0.23
"33",0.23
"34",0.23
"35",0.23
"36",0.23
"37",0.23
"38",0.31
"39",0.26
"40",0.33
"41",0.33
"42",0.33
"43",0.26
"44",0.26
"45",0.32
"46",0.29
"47",0.32
"48",0.32
"49",0.25
"50",0.29
"51",0.24
"52",0.23
"53",0.32
"54",0.22
"55",0.22
"56",0.3
"57",0.3
"58",0.3
"59",0.3
"60",0.3
"61",0.35
"62",0.3
"63",0.3
"64",0.3
"65",0.42
"66",0.28
"67",0.32
"68",0.31
"69",0.31
"70",0.24
"71",0.24
"72",0.3
"73",0.3
"74",0.3
"75",0.3
"76",0.26
"77",0.26
"78",0.26
"79",0.26
"80",0.26
"81",0.26
"82",0.26
"83",0.26
"84",0.38
"85",0.26
"86",0.24
"87",0.24
"88",0.24
"89",0.24
"90",0.32
"91",0.7
"92",0.86
"93",0.7
"94",0.71
"95",0.78
"96",0.7
"97",0.7
"98",0.96
"99",0.73
"100",0.8
"101",0.75
"102",0.75
"103",0.74
"104",0.75
"105",0.8
"106",0.75
"107",0.8
"108",0.74
"109",0.81
"110",0.59
"111",0.8
"112",0.74
"113",0.9
"114",0.74
"115",0.73
"116",0.73
"117",0.8
"118",0.71
"119",0.7
"120",0.8
"121",0.71
"122",0.74
"123",0.7
"124",0.7
"125",0.7
"126",0.7
"127",0.91
"128",0.61
"129",0.91
"130",0.91
"131",0.77
"132",0.71
"133",0.71
"134",0.7
"135",0.77
"136",0.63
"137",0.71
"138",0.71
"139",0.76
"140",0.64
"141",0.71
"142",0.71
"143",0.7
"144",0.7
"145",0.71
"146",0.7
"147",0.71
"148",0.73
"149",0.7
"150",0.7
"151",0.71
"152",0.74
"153",0.71
"154",0.73
"155",0.76
"156",0.76
"157",0.71
"158",0.73
"159",0.73
"160",0.73
"161",0.73
"162",0.72
"163",0.73
"164",0.71
"165",0.79
"166",0.73
"167",0.8
"168",0.58
"169",0.58
"170",0.71
"171",0.75
"172",0.7
"173",1.17
"174",0.6
"175",0.7
"176",0.83
"177",0.74
"178",0.72
"179",0.71
"180",0.71
"181",0.54
"182",0.54
"183",0.72
"184",0.72
"185",0.72
"186",0.71
"187",0.7
"188",0.71
"189",0.71
"190",0.71
"191",0.71
"192",0.7
"193",0.7
"194",0.7
"195",0.7
"196",0.7
"197",0.7
"198",0.7
"199",0.7
"200",0.72
"201",0.7
"202",0.7
"203",0.7
"204",0.7
"205",0.98
"206",0.78
"207",0.7
"208",0.52
"209",0.73
"210",0.74
"211",0.7
"212",0.77
"213",0.71
"214",0.74
"215",0.7
"216",1.01
"217",0.77
"218",0.78
"219",0.72
"220",0.53
"221",0.76
"222",0.7
"223",0.7
"224",0.75
"225",0.72
"226",0.72
"227",0.7
"228",0.84
"229",0.75
"230",0.52
"231",0.72
"232",0.79
"233",0.72
"234",0.51
"235",0.64
"236",0.7
"237",0.83
"238",0.76
"239",0.71
"240",0.77
"241",0.71
"242",1.01
"243",1.01
"244",0.77
"245",0.76
"246",0.76
"247",0.76
"248",1.05
"249",0.81
"250",0.7
"251",0.55
"252",0.81
"253",0.63
"254",0.63
"255",0.77
"256",1.05
"257",0.64
"258",0.76
"259",0.83
"260",0.71
"261",0.71
"262",0.87
"263",0.73
"264",0.71
"265",0.71
"266",0.71
"267",0.7
"268",0.7
"269",0.76
"270",0.7
"271",0.79
"272",0.7
"273",0.7
"274",0.76
"275",0.73
"276",0.79
"277",0.71
"278",0.81
"279",0.81
"280",0.72
"281",0.72
"282",0.72
"283",0.81
"284",0.72
"285",1
"286",0.73
"287",0.81
"288",0.81
"289",0.71
"290",0.71
"291",0.71
"292",0.57
"293",0.51
"294",0.72
"295",0.74
"296",0.74
"297",0.7
"298",0.8
"299",1.01
"300",0.8
"301",0.77
"302",0.83
"303",0.82
"304",0.78
"305",0.6
"306",0.9
"307",0.7
"308",0.9
"309",0.83
"310",0.83
"311",0.83
"312",0.74
"313",0.79
"314",0.61
"315",0.76
"316",0.96
"317",0.73
"318",0.73
"319",0.75
"320",0.71
"321",0.71
"322",0.71
"323",0.71
"324",1.04
"325",1
"326",0.87
"327",0.53
"328",0.72
"329",0.72
"330",0.7
"331",0.74
"332",0.71
"333",0.73
"334",0.7
"335",0.71
"336",0.71
"337",0.71
"338",0.77
"339",0.71
"340",0.78
"341",0.71
"342",0.91
"343",0.71
"344",0.71
"345",0.8
"346",0.7
"347",0.72
"348",0.72
"349",0.82
"350",0.7
"351",0.72
"352",0.72
"353",0.9
"354",0.74
"355",0.74
"356",0.73
"357",0.57
"358",0.73
"359",0.72
"360",0.74
"361",0.82
"362",0.81
"363",0.75
"364",0.7
"365",0.71
"366",0.71
"367",0.93
"368",0.8
"369",0.7
"370",1
"371",0.75
"372",0.58
"373",0.73
"374",0.81
"375",0.81
"376",0.71
"377",1.2
"378",0.7
"379",0.7
"380",0.74
"381",0.7
"382",0.8
"383",0.75
"384",0.83
"385",1
"386",0.99
"387",0.7
"388",0.7
"389",0.7
"390",0.7
"391",0.32
"392",0.32
"393",0.32
"394",0.32
"395",0.32
"396",0.32
"397",0.3
"398",0.3
"399",0.3
"400",0.3
"401",0.3
"402",0.3
"403",0.3
"404",0.32
"405",0.33
"406",0.29
"407",0.29
"408",0.31
"409",0.34
"410",0.34
"411",0.34
"412",0.34
"413",0.3
"414",0.29
"415",0.35
"416",0.43
"417",0.32
"418",0.36
"419",0.3
"420",0.26
"421",0.7
"422",0.7
"423",0.71
"424",0.99
"425",0.73
"426",0.51
"427",0.91
"428",0.84
"429",0.91
"430",0.76
"431",0.76
"432",0.75
"433",0.55
