"","x"
"1",4.0166667
"2",2.15
"3",4
"4",4
"5",4
"6",2
"7",4.3833333
"8",4.2833333
"9",2.0333333
"10",4.8333333
"11",1.8333333
"12",5.45
"13",1.6166667
"14",4.8666667
"15",4.3833333
"16",1.7666667
"17",4.6666667
"18",2
"19",4.7333333
"20",4.2166667
"21",1.9
"22",4.9666667
"23",2
"24",4
"25",2
"26",4
"27",2.8333333
"28",4.5
"29",4.0666667
"30",3.7166667
"31",3.5166667
"32",4.4666667
"33",2.2166667
"34",4.8833333
"35",2.6
"36",4.15
"37",2.2
"38",4.7666667
"39",1.8333333
"40",4.6
"41",2.2666667
"42",4.1333333
"43",2
"44",4
"45",2
"46",4
"47",1.8833333
"48",4.2666667
"49",2.0833333
"50",4.4666667
"51",2.5
"52",4
"53",1.7666667
"54",4.3333333
"55",2.1833333
"56",4.4833333
"57",3.8833333
"58",3.3333333
"59",3.7333333
"60",4
"61",1.95
"62",5.2666667
"63",2
"64",4
"65",2
"66",4
"67",2
"68",4
"69",3.5333333
"70",2.1666667
"71",4.5
"72",2.0166667
"73",4.15
"74",4.2
"75",4.3333333
"76",1.9333333
"77",4.65
"78",3.8166667
"79",4.0333333
"80",4.1666667
"81",4.6666667
"82",1.8166667
"83",4
"84",3
"85",4
"86",2
"87",4.45
"88",2.05
"89",4.25
"90",1.9166667
"91",4.6666667
"92",1.7333333
"93",4.3833333
"94",1.7666667
"95",4.6
"96",1.8666667
"97",4.45
"98",1.6333333
"99",5.0333333
"100",1.8166667
"101",5.1
"102",1.6333333
"103",4.2833333
"104",2
"105",4
"106",2
"107",4.5333333
"108",2
"109",4
"110",2.9333333
"111",4.7333333
"112",3.9
"113",1.95
"114",4.1166667
"115",1.8
"116",4.6666667
"117",1.8333333
"118",4.7
"119",2.1166667
"120",4.7833333
"121",1.8166667
"122",4.1
"123",4.65
"124",4
"125",2
"126",4
"127",4
"128",4.2166667
"129",4.1333333
"130",3.9333333
"131",3.75
"132",4.4166667
"133",2.4666667
"134",4.1666667
"135",3.8
"136",4.3166667
"137",3.8666667
"138",4.6833333
"139",1.7
"140",4.9666667
"141",4.2666667
"142",4.5833333
"143",4
"144",4
"145",4
"146",4
"147",1.9833333
"148",4.6
"149",0.8333333
"150",4.9166667
"151",1.7333333
"152",4.5833333
"153",1.7
"154",4.75
"155",1.8333333
"156",4.5
"157",1.8666667
"158",4.45
"159",4.45
"160",4
"161",4.8
"162",4
"163",4
"164",2
"165",4
"166",1.9333333
"167",4.5833333
"168",2
"169",3.7
"170",2.8666667
"171",4.8333333
"172",3.45
"173",4.3833333
"174",1.8
"175",4.4
"176",2.4833333
"177",4.5166667
"178",2.1
"179",4.35
"180",4.3666667
"181",1.7833333
"182",4.9166667
"183",1.8166667
"184",4
"185",4
"186",4
"187",3.8666667
"188",1.85
"189",4.7
"190",2.0166667
"191",4.4666667
"192",1.8666667
"193",4.1666667
"194",1.9
"195",4.25
"196",3.25
"197",4.2166667
"198",1.8833333
"199",4.9833333
"200",1.85
"201",4
"202",1.9666667
"203",4.7666667
"204",4
"205",2
"206",4
"207",4
"208",2.3833333
"209",4.4166667
"210",4.2166667
"211",4.3666667
"212",2
"213",4.45
"214",1.75
"215",4.5
"216",1.6166667
"217",4.7
"218",2.5666667
"219",3.7
"220",4.2333333
"221",1.9333333
"222",4.35
"223",4
"224",4
"225",4
"226",4.2166667
"227",4
"228",4.1333333
"229",1.8833333
"230",4.4666667
"231",1.95
"232",4.2166667
"233",1.7166667
"234",4.45
"235",4.25
"236",3.9666667
"237",4.3833333
"238",1.9666667
"239",4.45
"240",4.2666667
"241",1.9166667
"242",4.4166667
"243",3
"244",4
"245",2
"246",4
"247",3.2833333
"248",1.8333333
"249",4.6166667
"250",1.8333333
"251",4.6166667
"252",4.6
"253",4.25
"254",1.9333333
"255",4.9833333
"256",1.9666667
"257",4.3
"258",4.2
"259",4.5333333
"260",4.4
"261",4.6166667
"262",2
"263",4
"264",4
"265",3.9166667
"266",2
"267",4.5
"268",1.8
"269",4
"270",2.75
"271",4.7333333
"272",3.9666667
"273",1.95
"274",4.9666667
"275",1.85
"276",4.8
"277",4
"278",4
"279",4
"280",4
"281",4
"282",4
"283",4
"284",2
"285",4
"286",1.9333333
"287",4.3333333
"288",1.6666667
"289",4.7666667
"290",1.95
"291",4.6833333
"292",1.9333333
"293",4.4166667
"294",2.1333333
"295",4.0833333
"296",2.0666667
"297",4
"298",4
"299",2
